,total_price
150,16110753.74402886
151,1235682.4845413263
152,19168971.073649656
153,9570885.316206373
154,15216108.454127038
155,7001229.733328252
156,13601136.083952606
157,5777448.326821941
158,4721935.399593904
159,5868689.653695409
160,5152761.110618505
161,1856825.45196796
162,2932502.0580216
163,5596452.0
164,1796471.2000383998
165,5152761.110618505
166,2918164.6960794367
167,4060377.465119637
168,17418526.114527907
169,9570930.746189136
170,5328714.658905913
171,2432519.97749979
172,1034926.8058230493
173,2954108.359805996
174,12401173.653528975
175,4721935.399593904
176,20134731.765315764
177,2990101.9422798124
178,3510814.68383531
179,1395401.5402226066
180,5240482.134723621
181,8510322.896337844
182,1235682.4845413263
183,12996452.0
184,10338181.786926266
185,2017266.511947091
186,6052660.097420365
187,1979785.956386184
188,2776180.6679028864
189,601223.5405015525
190,14838002.464346325
191,20834281.34322309
192,5240482.134723621
193,46787746.9779162
194,6807763.251436361
195,4553294.89365591
196,10117037.571973633
197,427189.9465974333
198,34716631.137457296
199,12401164.204718307
200,13601115.367649335
201,5462016.072347805
202,3359209.126602508
203,4807052.8285254985
204,3900503.835490426
205,2432568.947567237
206,1948771.8908875056
207,5373021.810212164
208,9035286.764831843
209,4553304.947912608
210,4553294.89365591
211,18084995.81999832
212,12996452.0
213,963423.316282428
214,19443348.280912086
215,2432519.97749979
216,36400578.84667165
217,2432525.3440650827
218,4721935.399593904
219,5152761.110618505
220,4553294.89365591
221,987021.4150420949
222,1506032.0853708796
223,7793561.923953264
224,3680521.5301566175
225,2365774.4748755083
226,4304371.181288745
227,12996452.0
228,5373021.810212164
229,14215011.127100045
230,6145354.419774593
231,762137.424949238
232,2776195.442726633
233,3510814.68383531
234,2432585.0473935213
235,4721935.399593904
236,221559773.26167607
237,7001273.478374838
238,30626125.01828924
239,628163.9056519715
240,4721935.399593904
241,20134731.765315764
242,4849854.781819687
243,18085040.09416253
244,7294936.345266952
245,2568016.884206207
246,4553294.89365591
247,3510814.68383531
248,1395421.7044304856
249,4553294.89365591
250,826955.7668404528
251,3745814.15598556
252,16434428.320958225
253,4141154.7771430383
254,1093665.512436472
255,6053094.694348702
256,9570885.316206373
257,10673092.682967037
258,6052645.302820528
259,18085040.09416253
260,2432519.97749979
261,7493026.53878188
262,6052645.302820528
263,59566857.08536218
264,3135839.6913398136
265,4849872.767258807
266,8666666.578155622
267,7001252.091895907
268,8824005.535041088
269,7996131.480594058
270,13514238.80662899
271,16499423.508286456
272,987038.0170579172
273,82889589.56291993
274,4721945.581935371
275,4345518.762538293
276,1235682.4845413263
277,3359053.255126245
278,11815402.03862225
279,963423.316282428
280,3510814.68383531
281,849077.4668644185
282,1163791.77484646
283,987021.4150420949
284,3510814.68383531
285,14215011.127100045
286,7493026.53878188
287,11011639.469480127
288,17418385.6893393
289,11468591.435196536
290,17418385.6893393
291,9419860.602029946
292,4304387.612976425
293,1796452.0
294,987115.8109086665
295,36400319.19675123
296,4469778.573057575
297,411637.9660851515
298,30626125.01828924
299,1887292.9939459031
300,3121155.007144486
301,2366198.1706273984
302,48907436.38750751
303,6285332.542437573
304,3703854.885326977
305,35555181.65486809
306,5373022.697624157
307,872335.9928367509
308,1796454.4000006001
309,2299751.972410581
310,1677964.7404109626
311,20834286.971722256
312,5732012.947185027
313,2932502.0580216
314,8719005.607927613
315,1093652.6482546965
316,11990121.276353307
317,27479871.87361555
318,762137.424949238
319,510163.6510428008
320,620344.6750959493
321,3135839.6913398136
322,2706145.208342406
323,762137.424949238
324,7001261.813019916
325,5686701.538955403
326,35555114.305013746
327,4996161.8578976635
328,10116885.458271872
329,2432521.9899612707
330,5417573.207939903
331,50792894.56269407
332,6257244.1858450165
333,2776180.6679028864
334,9570885.316206373
335,10116885.458271872
336,1083762.5431583691
337,1158723.2583779804
338,7001230.705439381
339,1235709.5046510107
340,11011639.469480127
341,3742900.4553433657
342,1887290.549359459
343,10673092.682967037
344,246843973.77956292
345,8200483.484195949
346,8510295.87633061
347,25196452.0
348,9419860.602029946
349,16760267.98545456
350,20134731.765315764
351,403830106.3451252
352,2783127.9429070726
353,4849809.390100185
354,5152761.110618505
355,6332265.731143443
356,2247605.668993759
357,4304371.181288745
358,18084999.84492083
359,4721935.399593904
360,3900503.835490426
361,5240482.134723621
362,6052727.597940211
363,894173.4522445404
364,6191890.6828654995
365,17524475.444120802
366,6285326.921937934
367,1184156.4092237311
368,13968368.585061438
369,3359026.900298805
370,7493026.53878188
371,43396547.40003511
372,1811031.85372654
373,7001229.733328252
374,1796452.0
375,1796452.0
376,39149272.69375721
377,4060377.465119637
378,3135839.6913398136
379,427208.82541413297
380,4553294.89365591
381,6616112.427156565
382,2500451.2329661828
383,2366040.7757253842
384,26711353.47068248
385,6052645.302820528
386,3703854.885326977
387,151429649.41379535
388,2990101.9422798124
389,953583.4176284062
390,4721936.248122068
391,14838002.464346325
392,22982913.52334925
393,12996452.0
394,14839247.43210836
395,56590439.04685039
396,5152761.110618505
397,3062662.0411519045
398,26711407.01040539
399,665395.462001504
400,2299706.6208198383
401,1713191.3447787922
402,4979060.947809988
403,1796452.0
404,8098165.949685423
405,23711553.53071851
406,7996131.480594058
407,2434628.0262631564
408,390482.1007575887
409,3135839.6913398136
410,940070.8443340258
411,1979785.956386184
412,10673092.682967037
413,11815402.03862225
414,20134731.765315764
415,5777448.326821941
416,3510814.68383531
417,2105640.3092036783
418,2741082.621524468
419,492897.61052577593
420,3321453.50000012
421,8098087.27378985
422,3797334.6058534905
423,527752.4678535785
424,4304371.181288745
425,2365774.4748755083
426,8510295.87633061
427,2954060.1615294456
428,1341344.027419293
429,1163791.77484646
430,805089.8233399562
431,3900533.997096306
432,5240482.134723621
433,2432519.97749979
434,2636763.5476700068
435,2743382.2399527133
436,3135839.6913398136
437,6527117.824303444
438,5152761.110618505
439,20834281.34322309
440,16240037.880005395
441,4722385.126955143
442,10449396.942795703
443,2533893.9778895047
444,563875.4614174765
445,8824005.535041088
446,6285334.415937837
447,3900503.835490426
448,7945476.68311403
449,7493026.53878188
450,38110565.467150986
451,36400723.09689565
452,987021.4150420949
453,5777448.326821941
454,6332222.530259423
455,3641686.174914675
456,1173956.414312283
457,4722625.27049592
458,679442.6831399546
459,11239323.003502667
460,9570885.316206373
461,6521024.396643807
462,2247344.9567386005
463,396465.5001518738
464,2201890.854714848
465,11011668.965459364
466,849077.4668644185
467,679442.6831399546
468,1677964.7404109626
469,30786421.597892705
470,12996452.0
471,871837.6867201191
472,3510814.68383531
473,5777448.326821941
474,573798.8844190268
475,62594341.58317825
476,22082410.15441974
477,1506032.0853708796
478,11815402.03862225
479,7996138.602041624
480,11690143.52237522
481,5240486.533587751
482,4553294.89365591
483,2671369.1703311605
484,4304371.181288745
485,7001229.733328252
486,7493026.53878188
487,13601115.367649335
488,5373021.810212164
489,9570885.316206373
490,50792894.56269407
491,5732012.947185027
492,4020198.199736588
493,5152761.110618505
494,1108541.7271802165
495,6145354.419774593
496,601223.5405015525
497,1133511.2297181643
498,27479941.369148504
499,4181751.863247432
500,30626125.01828924
501,4304371.181288745
502,4770902.748307808
503,492897.9525784693
504,3900535.584551515
505,3026592.53900933
506,6521007.320336757
507,8098087.27378985
508,9035286.764831843
509,17418458.551417824
510,1948771.8908875056
511,1235706.386934096
512,3246854.7300918195
513,3359058.526100518
514,4304371.181288745
515,1083762.5431583691
516,16760267.98545456
517,826969.4033664252
518,4060377.465119637
519,3510842.9834338827
520,8098087.27378985
521,170959445.64909247
522,6527170.967746391
523,1701780.057127543
524,4553294.89365591
525,1979785.956386184
526,3510814.68383531
527,11815402.03862225
528,24450214.59469858
529,1093639.7841344029
530,5868689.653695409
531,1191184.7423124812
532,1796452.0
533,5240482.134723621
534,3359034.4302420323
535,17418385.6893393
536,1133523.7796465757
537,16760267.98545456
538,5240494.451546405
539,1235694.9553320822
540,10673092.682967037
541,2173808.8526849467
542,1184156.4092237311
543,36400319.19675123
544,12996452.0
545,3135839.6913398136
546,1368256.1645257964
547,1917939.7286812125
548,762155.2441336737
549,7592751.07453721
550,9570885.316206373
551,14380676.377082027
552,4979248.502870209
553,1677964.7404109626
554,4978888.0881744465
555,826955.7668404528
556,4721982.068721675
557,13845573.583457302
558,12401164.204718307
559,14400959.559222175
560,3821476.1269968436
561,4181751.863247432
562,13698721.901020344
563,4553294.89365591
564,10205278.303635614
565,7493026.53878188
566,5240482.134723621
567,2169632.174236504
568,5596452.0
569,916948.3566875269
570,38801997.715609305
571,2169662.4154446814
572,7001229.733328252
573,2776180.6679028864
574,7098671.932746275
575,2932502.0580216
576,8510295.87633061
577,12996452.0
578,1562555.9491927398
579,66707203.01064488
580,11816429.168938344
581,44118448.31164321
582,14463123.65108947
583,987444.5655324388
584,4721935.399593904
585,3900569.714893357
586,13358134.2632975
587,5596452.0
588,1235800.439432565
589,5603642.794967706
590,7493033.503695047
591,16110753.74402886
592,1034959.7000497377
593,4721938.793706878
594,22980547.329856746
595,2432519.97749979
596,1034926.8058230493
597,5035911.044827634
598,11468610.988902813
599,1677990.4720225187
600,4849809.390100185
601,5240482.134723621
602,8303318.225613939
603,2169632.174236504
604,4721935.399593904
605,6759654.34336867
606,2105640.3092036783
607,3135839.6913398136
608,3900503.835490426
609,11815402.03862225
610,651709.2893006832
611,9035291.007472867
612,527752.4678535785
613,96655432.91935246
614,4304435.2649945915
615,2073913.4867224756
616,6523612.583504061
617,10449396.942795703
618,44662557.293807775
619,4553317.515744356
620,11815402.03862225
621,18084995.81999832
622,4637497.554607621
623,1108523.8173477352
624,25950189.5928233
625,2568016.884206207
626,4181751.863247432
627,29038695.32467917
628,1263553.574979024
629,1348994.02695899
630,18084995.81999832
631,4020282.4294201513
632,1796452.0
633,2932502.0580216
634,2105640.3092036783
635,805089.8233399562
636,22257277.00723851
637,7001229.733328252
638,1034926.8058230493
639,1314591.0790058274
640,4141154.7771430383
641,21541826.20613656
642,18084995.81999832
643,849077.4668644185
644,39846994.85639136
645,1796503.6002773491
646,3791082.2924600258
647,5240495.331319845
648,6052645.302820528
649,26711353.47068248
650,13601115.367649335
651,2990276.7880568868
652,58569048.31025504
653,826955.7668404528
654,6521007.320336757
655,10673102.785443604
656,61984523.13718925
657,12048753.928070165
658,20834281.34322309
659,6285325.048438437
660,18084995.81999832
661,6052649.001469319
662,66707203.01064488
663,3135839.6913398136
664,6521007.320336757
665,10116885.458271872
666,1352068.6838532574
667,36401376.46795636
668,762137.424949238
669,2300844.45268353
670,7996131.480594058
671,762139.1220063614
672,2432519.97749979
673,10841917.46657308
674,11011639.469480127
675,1798648.5022584202
676,11468582.23345632
677,631957.7749330082
678,2339265.626986724
679,1948771.8908875056
680,4595254.678002276
681,3510814.68383531
682,33237068.32503625
683,12996648.8005043
684,7493028.528756845
685,10116906.40141654
686,36400319.19675123
687,5152821.461093092
688,2433325.010268826
689,4849865.915660218
690,1562562.779718178
691,2571115.871436273
692,10116885.458271872
693,3321452.0
694,15469958.473629424
695,10270372.88364439
696,20834281.34322309
697,16891206.86492689
698,5868689.653695409
699,1389453.14033106
700,2105640.3092036783
701,11011639.469480127
702,3135840.4261867674
703,5030827.995715015
704,9570885.316206373
705,3900503.835490426
706,28255791.996126514
707,5868689.653695409
708,3510814.68383531
709,2776180.6679028864
710,75191970.44959533
711,22257277.00723851
712,12996452.0
713,4721935.399593904
714,2932502.0580216
715,1619870.4205636794
716,2636757.3317988147
717,44299569.80362019
718,987021.4150420949
719,3359026.900298805
720,1546415.5064027882
721,12996470.00000422
722,2466144.710478668
723,7245698.413624651
724,4553431.464637027
725,9301779.673678476
726,4595254.678002276
727,13601115.367649335
728,7001229.733328252
729,2299834.131919597
730,6145425.992650349
731,1796452.0
732,3359026.900298805
733,47787671.35819674
734,5596452.0
735,6521306.15792896
736,13845573.583457302
737,5596452.0
738,894076.9958253187
739,10673100.540448533
740,25196452.0
741,2432519.97749979
742,2299707.935354113
743,12996452.0
744,6827001.80525748
745,3900503.835490426
746,6052645.302820528
747,3211316.2734890133
748,19443269.91881453
749,940064.8024718241
750,9035286.764831843
751,3821484.79543952
752,10673096.050458863
753,1325256.907856092
754,20273997.666739248
755,940064.8024718241
756,826955.7668404528
757,1918006.1293490329
758,987021.4150420949
759,6052645.302820528
760,19857171.21370121
761,4892697.308754643
762,3626240.6723521324
763,5596452.0
764,37252153.31572198
765,3209629.724595746
766,24897106.585995425
767,7998634.294192023
768,37252153.31572198
769,4721935.399593904
770,13297648.655784216
771,3359078.1040305975
772,3321452.0
773,10116885.458271872
774,1796510.8003601485
775,24450214.59469858
776,3033563.601611752
777,2234323.4385358067
778,7692925.837745317
779,26711501.85228872
780,22257392.10729516
781,7001229.733328252
782,1163791.77484646
783,2169632.174236504
784,7245698.413624651
785,4721935.399593904
786,1288074.6454228587
787,2954055.125904814
788,3472645.675593676
789,2627092.521804901
790,1235682.4845413263
791,5417455.734915347
792,1059229.4915932843
793,10561043.64656283
794,3510814.68383531
795,6145354.419774593
796,7493026.53878188
797,10116885.458271872
798,5328714.658905913
799,2990101.9422798124
800,5152790.848502907
801,2990101.9422798124
802,3396751.204761955
803,4181751.863247432
804,8719005.607927613
805,7996131.480594058
806,3664956.0002860017
807,4304371.181288745
808,4892697.308754643
809,50811163.50750484
810,2846855.742828628
811,4637364.326892103
812,2105649.85515318
813,3510814.68383531
814,13176873.218126938
815,7493026.53878188
816,1021142.5951494705
817,17418385.6893393
818,8719028.660746947
819,18085049.48565661
820,2029784.179393576
821,3510814.68383531
822,191264636.09519842
823,21970153.568635494
824,4978970.196241652
825,7245698.413624651
826,3680540.972440194
827,720245.8525794281
828,17551031.799004067
829,11815402.03862225
830,381641.0925513703
831,1506032.0853708796
832,545658.2427849765
833,11873556.812545815
834,12401164.204718307
835,1293639.2430051784
836,987024.7354359623
837,2105640.3092036783
838,2300563.755284949
839,2105640.3092036783
840,5596472.700013225
841,7996700.185874009
842,14215011.127100045
843,7275227.46472552
844,10116885.458271872
845,3510814.68383531
846,783482.6635943304
847,1314602.7928642507
848,314256736.085715
849,396452.0
850,7996920.957121846
851,4721935.399593904
852,1796452.0
853,11815402.03862225
854,5240482.134723621
855,1797031.6349919415
856,10673092.682967037
857,6285325.048438437
858,2499957.9971761936
859,6521092.702025691
860,4978865.616574794
861,15317627.939145055
862,33059815.30931649
863,8511735.252081692
864,7001229.733328252
865,2299706.6208198383
866,2741487.438633156
867,1506032.0853708796
868,1478080.147917381
869,22980547.329856746
870,3743963.660222834
871,382207.4746789353
872,3587593.4007675936
873,24450214.59469858
874,2352506.470554953
875,271361761.35943854
876,11815402.03862225
877,16239962.83771878
878,1506032.0853708796
879,14215011.127100045
880,7493026.53878188
881,5596459.2000016
882,1395418.979530923
883,4909889.166230181
884,4304372.824456528
885,4553294.89365591
886,5373021.810212164
887,10227316.369534662
888,4060377.465119637
889,659458.4794363033
890,12996452.0
891,7493026.53878188
892,703793.9957105573
893,3434624.32401242
894,3139222.840378085
895,11815402.03862225
896,7493062.3583589215
897,15469997.930204805
898,64948355.71718811
899,25497051.202390444
900,4721988.856971806
901,1133556.4097226462
902,7001229.733328252
903,15469958.473629424
904,4721962.552521454
905,1506032.0853708796
906,1796452.0
907,8510295.87633061
908,1395401.5402226066
909,18084995.81999832
910,14215138.531256855
911,4469853.4952359
912,1506032.0853708796
913,6052645.302820528
914,9035286.764831843
915,2432519.97749979
916,331496919.8535785
917,4181751.863247432
918,10116885.458271872
919,9035286.764831843
920,11526141.978106195
921,12996452.0
922,4304385.969806672
923,32731720.24847153
924,29038695.32467917
925,13601115.367649335
926,15469958.473629424
927,10227324.113953002
928,826955.7668404528
929,894076.5408527426
930,2299706.6208198383
931,4386802.820635427
932,4978865.616574794
933,6809917.1736758165
934,14215011.127100045
935,15470011.930933267
936,7493036.488658511
937,6126807.213268247
938,1591115.0417416245
939,5596538.400230398
940,6052645.302820528
941,5868689.653695409
942,30630438.12593284
943,25196621.500191536
944,2432519.97749979
945,11815402.03862225
946,1796452.0
947,33059835.02733251
948,40724786.00203059
949,4723034.287999509
950,2234327.991229013
951,7996131.480594058
952,7001229.733328252
953,5417455.734915347
954,5417617.705527759
955,2533893.9778895047
956,75191966.12293285
957,7098671.932746275
958,4553294.89365591
959,144648537.48165718
960,1235682.4845413263
961,1506032.0853708796
962,2299731.5970178917
963,33653217.73302071
964,8510295.87633061
965,1948771.8908875056
966,1631427.2332357515
967,16110753.74402886
968,4100696.485172515
969,23712269.275252234
970,1108559.1396297386
971,7493026.53878188
972,80061441.51646002
973,7996131.480594058
974,30866675.09993848
975,11815402.03862225
976,7001229.733328252
977,2932502.0580216
978,762137.424949238
979,6521007.320336757
980,38110565.467150986
981,16760267.98545456
982,2932508.515484941
983,8510295.87633061
984,36400319.19675123
985,7996131.480594058
986,3145339.75844404
987,16760372.599139325
988,3321452.0
989,27480075.7273462
990,4978865.616574794
991,30386207.133157346
992,2432569.61839256
993,10673094.927961547
994,1395419.5245106707
995,45482896.27419755
996,699706.4088232114
997,396470.0002699973
998,20134731.765315764
999,1162360.3975685313
1000,3742898.108430241
1001,70907130.11865474
1002,9462938.910441699
1003,7996153.862293707
1004,4304371.181288745
1005,6521007.320336757
1006,12757238.15170223
1007,6052645.302820528
1008,1395401.5402226066
1009,3587593.4007675936
1010,2169632.174236504
1011,1563039.8062329418
1012,185385711.22157863
1013,61579320.05436999
1014,11411163.930368008
1015,987070.27273517
1016,3209847.5651510763
1017,4113436.356613351
1018,46124384.67718459
1019,6210604.309382094
1020,3359026.900298805
1021,3900503.835490426
1022,14463123.65108947
1023,2776676.695264061
1024,1235682.4845413263
1025,1979785.956386184
1026,4304379.397129847
1027,9570979.421252104
1028,3680505.9763557967
1029,15469958.473629424
1030,1395401.5402226066
1031,5240482.134723621
1032,4100696.485172515
1033,31430535.50987297
1034,6730870.968676759
1035,8510295.87633061
1036,2105640.3092036783
1037,7001229.733328252
1038,11815402.03862225
1039,2432519.97749979
1040,25950189.5928233
1041,4553331.759301615
1042,7493026.53878188
1043,6521011.11507033
1044,805089.8233399562
1045,12401164.204718307
1046,4304371.181288745
1047,10116885.458271872
1048,10393724.919756535
1049,9570885.316206373
1050,5596452.0
1051,7216210.537157812
1052,3900503.835490426
1053,3348296.036125545
1054,23711553.53071851
1055,4060377.465119637
1056,5596452.0
1057,6521007.320336757
1058,10673237.485441463
1059,2432519.97749979
1060,367214.9936490925
1061,3284027.1003012056
1062,1166537.3066596487
1063,38111027.33092549
1064,307782.3747327333
1065,3626201.9908885485
1066,29828866.68392341
1067,1029523.4958850072
1068,1506032.0853708796
1069,1506083.159326186
1070,15732380.153518476
1071,1736828.5773342568
1072,13601115.367649335
1073,3135839.6913398136
1074,4721935.399593904
1075,2636763.5476700068
1076,427328.717914394
1077,7743181.42406179
1078,3359026.900298805
1079,6712248.118236978
1080,3136537.823549084
1081,9141585.92994229
1082,9733643.595479175
1083,3680498.1994640655
1084,4304371.181288745
1085,2105640.3092036783
1086,7344288.385928263
1087,4849809.390100185
1088,11815402.03862225
1089,6521007.320336757
1090,11011639.469480127
1091,2432519.97749979
1092,2776180.6679028864
1093,7996131.480594058
1094,2990101.9422798124
1095,5240482.134723621
1096,37252153.31572198
1097,7493026.53878188
1098,1796452.0
1099,2169632.174236504
1100,6521007.320336757
1101,538041.1183775017
1102,805089.8233399562
1103,2776376.964291777
1104,906396.780472397
1105,7493026.53878188
1106,1288074.6454228587
1107,44299569.80362019
1108,6052645.302820528
1109,3135847.039812104
1110,10116885.458271872
1111,1235688.719930469
1112,3821415.44809158
1113,1513191.1445517996
1114,849077.4668644185
1115,7996131.480594058
1116,4721935.399593904
1117,11815414.819469634
1118,22980547.329856746
1119,2266928.99818182
1120,5960422.853500215
1121,2776192.628472316
1122,6145354.419774593
1123,4721935.399593904
1124,2105640.3092036783
1125,3900665.7566503608
1126,267261.766906931
1127,9733602.25571056
1128,7294936.345266952
1129,3680498.1994640655
1130,9035286.764831843
1131,9035302.674739193
1132,24006143.67116023
1133,8303318.225613939
1134,4060377.465119637
1135,6521056.651932389
1136,29040762.551612385
1137,7592751.07453721
1138,4978865.616574794
1139,3900516.5351039767
1140,20834409.391705748
1141,1562555.9491927398
1142,3321452.0
1143,15470284.309592718
1144,9842597.603296688
1145,48160039.74535711
1146,70907193.75827461
1147,2432519.97749979
1148,46676620.67439274
1149,3900503.835490426
1150,2602304.239851816
1151,5596452.0
1152,23711650.53057901
1153,3434624.32401242
1154,1173967.1057863045
1155,3135854.388290518
1156,3135849.244354985
1157,16760271.908463765
1158,5960422.853500215
1159,2235000.526290509
1160,563875.4614174765
1161,3135839.6913398136
1162,1677964.7404109626
1163,5152761.110618505
1164,8824005.535041088
1165,1796452.0
1166,14587856.48001404
1167,4721935.399593904
1168,1395401.5402226066
1169,45208942.169762895
1170,1796455.60000135
1171,10516336.604005996
1172,492897.61052577593
1173,1162780.8103717929
1174,720245.8525794281
1175,1796472.40004335
1176,12996452.0
1177,6588928.813523968
1178,7793548.813915169
1179,940065.267229874
1180,2299706.6208198383
1181,13601115.367649335
1182,23301241.84799472
1183,1979785.956386184
1184,1341318.8044798924
1185,3434624.32401242
1186,14963680.582235733
1187,4978865.616574794
1188,411637.9660851515
1189,762154.8198652031
1190,3510814.68383531
1191,12401225.622031234
1192,8719005.607927613
1193,25196452.0
1194,4721935.399593904
1195,8666666.578155622
1196,16110784.712409865
1197,4004165.733987889
1198,6521007.320336757
1199,3664956.0002860017
1200,1887290.549359459
1201,5240482.134723621
1202,4304371.181288745
1203,2533893.9778895047
1204,8354917.018758795
1205,51367701.27714548
1206,1631427.2332357515
1207,3664956.0002860017
1208,2010980.864471436
1209,2105640.3092036783
1210,9419860.602029946
1211,1856825.45196796
1212,3031496.295572217
1213,1314591.0790058274
1214,762137.424949238
1215,4304371.181288745
1216,33059881.03605188
1217,22980547.329856746
1218,1288074.6454228587
1219,67435988.84403247
1220,11239323.003502667
1221,7493026.53878188
1222,4978865.616574794
1223,8510295.87633061
1224,3435664.895576233
1225,2776590.855630577
1226,6521007.320336757
1227,10338154.026780317
1228,4428222.905897435
1229,6052645.302820528
1230,11011639.469480127
1231,19443269.91881453
1232,4553294.89365591
1233,2846855.742828628
1234,5417455.734915347
1235,3916407.163797505
1236,2299765.117860136
1237,3900619.7200021013
1238,12996452.0
1239,3135902.1535494737
1240,1736887.2305069198
1241,6052645.302820528
1242,12342156.796346733
1243,24450214.59469858
1244,987021.4150420949
1245,1573955.9455478885
1246,45208894.72420682
1247,3587593.4007675936
1248,10116885.458271872
1249,9570885.316206373
1250,3434624.32401242
1251,37252153.31572198
1252,7001229.733328252
1253,4304371.181288745
1254,32242729.87032428
1255,1236240.0815473194
1256,39846924.88494804
1257,2710728.186428478
1258,12996452.0
1259,22057167.276742067
1260,3572300.081086826
1261,1468069.83022143
1262,3510878.1668309113
1263,3900560.9838656974
1264,3259240.760507022
1265,849077.4668644185
1266,4721935.399593904
1267,7245698.413624651
1268,8510295.87633061
1269,1450311.7057102008
1270,3138836.171127146
1271,3135869.82011512
1272,3246752.8048387617
1273,1562555.9491927398
1274,2432526.014886046
1275,1235682.4845413263
1276,43396457.40000011
1277,1235682.4845413263
1278,1677964.7404109626
1279,2932502.0580216
1280,1917939.7286812125
1281,9035286.764831843
1282,4020198.199736588
1283,6052645.302820528
1284,11239343.566096434
1285,5152761.110618505
1286,19443269.91881453
1287,4721964.249581229
1288,3664972.307444452
1289,10116885.458271872
1290,5868702.461978802
1291,29038695.32467917
1292,14215011.127100045
1293,22257277.00723851
1294,2932502.0580216
1295,6052645.302820528
1296,2105640.3092036783
1297,1979785.956386184
1298,5030816.719381441
1299,10673092.682967037
1300,11239323.003502667
1301,14838002.464346325
1302,7001229.733328252
1303,3321452.0
1304,6521117.367918469
1305,18084995.81999832
1306,3664956.0002860017
1307,17418385.6893393
1308,2533952.5276514385
1309,563875.4614174765
1310,504949.6742213789
1311,12996452.0
1312,2244086.9857823784
1313,79560552.3702162
1314,1800776.3455768216
1315,1979785.956386184
1316,1395401.5402226066
1317,1713191.3447787922
1318,8200483.484195949
1319,9570922.092853427
1320,28255675.08261581
1321,6379239.801631235
1322,8562311.489616115
1323,1948771.8908875056
1324,33884803.10242114
1325,10116885.458271872
1326,14838002.464346325
1327,12460266.86324708
1328,6521007.320336757
1329,12401164.204718307
1330,166708208.34170702
1331,987021.4150420949
1332,4020198.199736588
1333,45208894.72420682
1334,2105640.3092036783
1335,4304371.181288745
1336,7793548.813915169
1337,26711442.19367149
1338,762195.9744006693
1339,8098087.27378985
1340,4020478.9677535887
1341,20834281.34322309
1342,33059833.38416436
1343,5596452.0
1344,78460204.7850537
1345,4553294.89365591
1346,1314591.0790058274
1347,16110753.74402886
1348,5065554.586719652
1349,2105640.3092036783
1350,1967358.5700934087
